AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
0.047,2735683.18,0.03141,0.0317,9.41037,9,4.8,6
0.048,2735683.199,0.00748,0.05833,9.17588,9,4.8,6
0.049,2735683.218,0.00748,-0.00179,9.89402,9,4.8,6
0.05,2735683.237,0.05533,-0.0329,10.34417,9,4.8,6
0.069,2735683.256,0.04576,-0.05683,10.40399,9,4.8,6
0.089,2735683.275,0.01466,-0.00897,9.75045,9,4.8,6
0.107,2735683.294,0.05294,0.0317,10.20748,9,4.8,6
0.123,2735683.313,-0.04038,0.01017,9.31227,9,4.8,6
0.143,2735683.332,0.01226,0.01974,9.96581,9,4.8,6
0.163,2735683.351,0.03858,0.00299,9.69542,9,4.8,6
0.185,2735683.37,0.08883,0.08943,9.68345,9,4.8,6
0.202,2735683.389,0.03619,-0.00897,9.89163,9,4.8,6
0.22,2735683.408,0.01466,-0.00658,9.89881,9,4.8,6
0.238,2735683.427,-0.02602,-0.06401,9.95863,9,4.8,6
0.257,2735683.446,-0.00688,-0.04247,9.85813,9,4.8,6
0.276,2735683.465,0.02662,-0.04965,9.78156,9,4.8,6
0.296,2735683.484,0.0338,-0.04247,9.79831,9,4.8,6
0.316,2735683.503,0.04816,-0.08315,9.91077,9,4.8,6
0.335,2735683.522,0.02423,-0.10947,10.00888,9,4.8,6
0.355,2735683.541,-0.00449,-0.11426,9.90838,9,4.8,6
0.372,2735683.56,-0.02124,-0.13101,9.88206,9,4.8,6
0.391,2735683.579,0.01944,-0.10947,9.84138,9,4.8,6
0.41,2735683.598,0.02901,-0.15733,9.89402,9,4.8,6
0.429,2735683.617,0.01466,-0.14536,9.89642,9,4.8,6
0.449,2735683.636,0.00269,-0.18604,9.83659,9,4.8,6
0.467,2735683.655,-0.00927,-0.18126,9.84138,9,4.8,6
0.487,2735683.674,0.01944,-0.19322,9.84138,9,4.8,6
0.505,2735683.693,0.01705,-0.22433,9.92991,9,4.8,6
0.524,2735683.712,0.0003,-0.26022,9.88206,9,4.8,6
0.543,2735683.731,-0.01884,-0.27218,9.94906,9,4.8,6
0.563,2735683.75,-0.00688,-0.27458,9.94906,9,4.8,6
0.581,2735683.769,-0.02363,-0.29372,9.96581,9,4.8,6
0.601,2735683.788,-0.00449,-0.28175,9.95384,9,4.8,6
0.619,2735683.807,-0.01645,-0.2985,9.91795,9,4.8,6
0.637,2735683.827,-0.02602,-0.3009,9.90599,9,4.8,6
0.657,2735683.846,-0.02363,-0.3009,9.86531,9,4.8,6
0.676,2735683.865,-0.01167,-0.29611,9.87727,9,4.8,6
0.696,2735683.884,0.00269,-0.28654,9.85334,9,4.8,6
0.715,2735683.903,0.00269,-0.30568,9.87727,9,4.8,6
0.734,2735683.922,-0.01167,-0.2985,9.88445,9,4.8,6
0.753,2735683.941,-0.01884,-0.30329,9.88206,9,4.8,6
0.772,2735683.96,-0.02363,-0.29133,9.89402,9,4.8,6
0.794,2735683.979,-0.00688,-0.30329,9.88684,9,4.8,6
0.811,2735683.998,-0.00449,-0.3009,9.87009,9,4.8,6
0.83,2735684.017,-0.00449,-0.30329,9.89163,9,4.8,6
0.847,2735684.036,-0.00449,-0.29611,9.88684,9,4.8,6
0.867,2735684.055,-0.01645,-0.31047,9.88924,9,4.8,6
0.886,2735684.074,-0.00688,-0.30568,9.84617,9,4.8,6
0.908,2735684.093,-0.00927,-0.30329,9.86052,9,4.8,6
0.923,2735684.112,-0.00688,-0.3009,9.86052,9,4.8,6
0.946,2735684.131,-0.02124,-0.31286,9.89642,9,4.8,6
0.962,2735684.15,-0.00927,-0.31047,9.90838,9,4.8,6
0.986,2735684.169,-0.01406,-0.30329,9.90599,9,4.8,6
1.003,2735684.188,-0.01167,-0.30568,9.88924,9,4.8,6
1.02,2735684.207,-0.01884,-0.30568,9.8677,9,4.8,6
1.039,2735684.226,-0.01645,-0.31047,9.86292,9,4.8,6
1.055,2735684.245,-0.00449,-0.2985,9.85334,9,4.8,6
1.075,2735684.264,-0.00927,-0.30568,9.87488,9,4.8,6
1.096,2735684.283,-0.00688,-0.30808,9.88684,9,4.8,6
1.116,2735684.302,-0.01167,-0.30808,9.89402,9,4.8,6
1.135,2735684.321,-0.01406,-0.30568,9.89642,9,4.8,6
1.154,2735684.34,-0.01167,-0.31286,9.88684,9,4.8,6
1.176,2735684.359,-0.00927,-0.3009,9.87249,9,4.8,6
1.19,2735684.378,-0.01884,-0.31525,9.86052,9,4.8,6
1.212,2735684.397,-0.01884,-0.2985,9.8677,9,4.8,6
1.229,2735684.416,-0.01645,-0.30568,9.87967,9,4.8,6
1.249,2735684.435,-0.01884,-0.31525,9.88924,9,4.8,6
1.267,2735684.454,-0.00927,-0.29611,9.9012,9,4.8,6
1.288,2735684.473,-0.01645,-0.31765,9.88206,9,4.8,6
1.305,2735684.492,-0.02602,-0.32004,9.89402,9,4.8,6
1.326,2735684.511,-0.02124,-0.31286,9.87009,9,4.8,6
1.342,2735684.53,-0.00688,-0.31047,9.87967,9,4.8,6
1.365,2735684.549,-0.00688,-0.31765,9.87009,9,4.8,6
1.382,2735684.568,-0.01406,-0.30808,9.88206,9,4.8,6
1.399,2735684.587,-0.01406,-0.31765,9.88684,9,4.8,6
1.418,2735684.606,-0.00209,-0.32243,9.89402,9,4.8,6
1.439,2735684.625,-0.01645,-0.31047,9.88684,9,4.8,6
1.459,2735684.644,-0.02602,-0.30568,9.87249,9,4.8,6
1.478,2735684.663,-0.02602,-0.29611,9.87249,9,4.8,6
1.495,2735684.682,-0.00688,-0.2985,9.88206,9,4.8,6
1.516,2735684.701,-0.01406,-0.30568,9.87249,9,4.8,6
1.538,2735684.721,-0.02363,-0.31047,9.87727,9,4.8,6
1.553,2735684.74,-0.00927,-0.31765,9.88684,9,4.8,6
1.576,2735684.759,-0.01645,-0.31765,9.88206,9,4.8,6
1.59,2735684.778,-0.02363,-0.32483,9.87727,9,4.8,6
1.608,2735684.797,-0.00927,-0.30568,9.88684,9,4.8,6
1.632,2735684.816,-0.00927,-0.30808,9.87488,9,4.8,6
1.656,2735684.835,-0.01406,-0.32722,9.88206,9,4.8,6
1.667,2735684.854,-0.01167,-0.32243,9.88684,9,4.8,6
1.686,2735684.873,-0.01884,-0.31286,9.88684,9,4.8,6
1.704,2735684.892,-0.00927,-0.31286,9.87967,9,4.8,6
1.723,2735684.911,-0.00927,-0.31525,9.88445,9,4.8,6
1.742,2735684.93,-0.01406,-0.31525,9.87249,9,4.8,6
1.761,2735684.949,-0.01406,-0.31765,9.88445,9,4.8,6
1.781,2735684.968,-0.00927,-0.30808,9.87727,9,4.8,6
1.803,2735684.987,-0.01884,-0.30568,9.87727,9,4.8,6
1.819,2735685.006,-0.02124,-0.31765,9.87727,9,4.8,6
1.839,2735685.025,-0.01406,-0.32243,9.88445,9,4.8,6
1.856,2735685.044,-0.00209,-0.32961,9.88206,9,4.8,6
1.877,2735685.063,0.0003,-0.31765,9.88445,9,4.8,6
1.893,2735685.082,-0.01884,-0.32243,9.87967,9,4.8,6
1.913,2735685.101,-0.02124,-0.32243,9.88206,9,4.8,6
