AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
0.076,2732350.426,0.24006,0.02703,-0.00557,6,3,0.6
0.077,2732350.445,0.1014,0.00504,-0.00557,6,3,0.6
0.077,2732350.464,-0.05925,-0.00779,-0.00374,6,3,0.6
0.078,2732350.483,-0.14783,-0.01451,-0.00252,6,3,0.6
0.092,2732350.502,-0.12828,-0.01329,-0.00252,6,3,0.6
0.126,2732350.521,-0.04642,-0.00412,-0.00252,6,3,0.6
0.126,2732350.54,0.03848,0.00321,-0.00374,6,3,0.6
0.143,2732350.559,0.08491,0.00137,-0.00618,6,3,0.6
0.159,2732350.578,0.08063,0.0087,-0.00557,6,3,0.6
0.181,2732350.597,0.03482,0.00015,-0.00435,6,3,0.6
0.2,2732350.616,-0.01833,-0.00351,-0.00374,6,3,0.6
0.218,2732350.635,-0.05375,-0.00473,-0.00374,6,3,0.6
0.238,2732350.655,-0.05192,-0.00962,-0.00496,6,3,0.6
0.254,2732350.674,-0.00794,-0.0029,-0.0068,6,3,0.6
0.276,2732350.693,0.04581,0.00687,-0.00802,6,3,0.6
0.295,2732350.712,0.06292,0.00932,-0.00863,6,3,0.6
0.312,2732350.731,0.03604,0.00443,-0.00802,6,3,0.6
0.332,2732350.75,-0.01466,0.00015,-0.00741,6,3,0.6
0.35,2732350.769,-0.0562,-0.00473,-0.00557,6,3,0.6
0.37,2732350.788,-0.07697,-0.00107,-0.00374,6,3,0.6
0.389,2732350.807,-0.07758,-0.0029,-0.00313,6,3,0.6
0.409,2732350.826,-0.05864,-0.00046,-0.00252,6,3,0.6
0.427,2732350.845,-0.02688,0.00015,-0.00313,6,3,0.6
0.446,2732350.864,0.00733,0.00137,-0.00557,6,3,0.6
0.464,2732350.883,0.03054,0.00199,-0.0068,6,3,0.6
0.483,2732350.902,0.03909,0.00199,-0.00741,6,3,0.6
0.504,2732350.921,0.02871,0.00137,-0.00802,6,3,0.6
0.522,2732350.94,0.00855,0.00015,-0.00802,6,3,0.6
0.541,2732350.959,-0.01527,-0.00046,-0.00802,6,3,0.6
0.56,2732350.978,-0.02871,-0.00107,-0.00741,6,3,0.6
0.58,2732350.997,-0.02993,-0.00168,-0.00557,6,3,0.6
0.598,2732351.016,-0.01955,-0.00107,-0.00435,6,3,0.6
0.618,2732351.035,-0.00428,-0.00168,-0.00374,6,3,0.6
0.636,2732351.054,0.01283,-0.00046,-0.00313,6,3,0.6
0.654,2732351.073,0.02199,0.00076,-0.00252,6,3,0.6
0.675,2732351.092,0.02199,0.00137,-0.00252,6,3,0.6
0.695,2732351.111,0.01283,0.00076,-0.00313,6,3,0.6
0.713,2732351.13,-0.00244,-0.00046,-0.00252,6,3,0.6
0.732,2732351.149,-0.01527,-0.00168,-0.00252,6,3,0.6
0.751,2732351.168,-0.02138,-0.0029,-0.00252,6,3,0.6
0.768,2732351.187,-0.0171,-0.0029,-0.00252,6,3,0.6
0.788,2732351.206,-0.00916,-0.00229,-0.0013,6,3,0.6
0.808,2732351.225,0.00428,-0.00229,-8e-05,6,3,0.6
0.828,2732351.244,0.011,-0.00351,0.00176,6,3,0.6
0.845,2732351.263,0.01405,-0.00412,0.00237,6,3,0.6
0.864,2732351.282,0.00733,-0.00473,0.00298,6,3,0.6
0.882,2732351.301,0.00061,-0.00473,0.00237,6,3,0.6
0.906,2732351.32,-0.00794,-0.00412,0.00237,6,3,0.6
0.922,2732351.339,-0.01161,-0.00351,0.00176,6,3,0.6
0.941,2732351.358,-0.01222,-0.00412,0.00176,6,3,0.6
0.96,2732351.377,-0.00916,-0.00351,0.00176,6,3,0.6
0.98,2732351.396,-0.00611,-0.00412,0.00176,6,3,0.6
1.001,2732351.415,-0.00367,-0.0029,0.00298,6,3,0.6
1.02,2732351.434,0.00061,-0.00351,0.00359,6,3,0.6
1.04,2732351.453,0.00122,-0.0029,0.00481,6,3,0.6
1.053,2732351.472,0.00244,-0.00351,0.00603,6,3,0.6
1.077,2732351.491,0.00061,-0.0029,0.00603,6,3,0.6
1.093,2732351.51,-0.00061,-0.00229,0.00481,6,3,0.6
1.112,2732351.529,-0.00489,-0.00168,0.00298,6,3,0.6
1.132,2732351.548,-0.00489,-0.00046,0.00115,6,3,0.6
1.15,2732351.568,-0.00428,-0.00046,-8e-05,6,3,0.6
1.169,2732351.587,-0.00183,0.00015,-0.0013,6,3,0.6
1.187,2732351.606,-0.00061,0.00015,-0.00252,6,3,0.6
1.206,2732351.625,0.00122,0.00015,-0.00252,6,3,0.6
1.225,2732351.644,0.00061,0.00015,-0.0013,6,3,0.6
1.244,2732351.663,0.0,-0.00046,0.00053,6,3,0.6
1.263,2732351.682,-0.00183,-0.00046,0.00053,6,3,0.6
1.281,2732351.701,-0.00305,-0.00046,0.00053,6,3,0.6
1.301,2732351.72,-0.00305,-0.00046,0.00053,6,3,0.6
1.324,2732351.739,-0.00244,-0.00046,0.00053,6,3,0.6
1.341,2732351.758,-0.00061,-0.00046,-8e-05,6,3,0.6
1.359,2732351.777,-0.00061,0.00015,-0.00069,6,3,0.6
1.378,2732351.796,0.00061,0.00015,-0.0013,6,3,0.6
1.397,2732351.815,-0.00061,-0.00046,-0.00069,6,3,0.6
1.417,2732351.834,0.00061,-0.00046,-8e-05,6,3,0.6
1.438,2732351.853,-0.00122,-0.00046,-8e-05,6,3,0.6
1.453,2732351.872,-0.00122,0.00076,-8e-05,6,3,0.6
1.474,2732351.891,-0.00244,-0.00107,-8e-05,6,3,0.6
1.492,2732351.91,-0.00061,0.00015,-8e-05,6,3,0.6
1.518,2732351.929,-0.00122,-0.00107,-8e-05,6,3,0.6
1.53,2732351.948,0.0,-0.00046,-8e-05,6,3,0.6
1.55,2732351.967,0.00061,-0.00046,-0.00069,6,3,0.6
1.569,2732351.986,0.0,-0.00046,-0.00069,6,3,0.6
1.587,2732352.005,-0.00061,0.00015,-0.00069,6,3,0.6
1.607,2732352.024,-0.00183,-0.00046,-8e-05,6,3,0.6
1.625,2732352.043,-0.00183,0.00015,0.00053,6,3,0.6
1.645,2732352.062,-0.00183,0.00015,0.00053,6,3,0.6
1.663,2732352.081,-0.00061,0.00015,-8e-05,6,3,0.6
1.682,2732352.1,-0.00061,-0.00107,-0.00069,6,3,0.6
1.702,2732352.119,0.00061,-0.00046,-0.0013,6,3,0.6
1.724,2732352.138,-0.00061,-0.00046,-8e-05,6,3,0.6
1.74,2732352.157,0.00061,-0.00046,-8e-05,6,3,0.6
1.758,2732352.176,-0.00122,-0.00046,-8e-05,6,3,0.6
1.777,2732352.195,-0.00122,-0.00046,-8e-05,6,3,0.6
1.796,2732352.214,-0.00183,-0.00046,-8e-05,6,3,0.6
1.815,2732352.233,0.0,0.00015,-8e-05,6,3,0.6
1.838,2732352.252,-0.00122,-0.00046,-8e-05,6,3,0.6
1.854,2732352.271,-0.00061,-0.00046,-8e-05,6,3,0.6
1.872,2732352.29,-0.00061,-0.00046,-8e-05,6,3,0.6
1.895,2732352.309,0.0,0.00015,-8e-05,6,3,0.6
1.912,2732352.328,0.0,-0.00046,-8e-05,6,3,0.6
1.93,2732352.347,-0.00061,0.00015,0.00053,6,3,0.6
1.95,2732352.366,-0.00061,-0.00107,-8e-05,6,3,0.6
1.968,2732352.385,-0.00122,-0.00046,-8e-05,6,3,0.6
1.985,2732352.404,-0.00061,0.00015,0.00053,6,3,0.6
2.006,2732352.423,-0.00122,-0.00046,0.00053,6,3,0.6
2.025,2732352.442,0.0,0.00015,-8e-05,6,3,0.6
2.046,2732352.462,-0.00122,0.00015,-0.00069,6,3,0.6
2.1,2732352.481,0.0,0.00015,-0.00069,6,3,0.6
2.101,2732352.5,-0.00061,-0.00046,-0.00069,6,3,0.6
2.101,2732352.519,0.0,-0.00046,-8e-05,6,3,0.6
2.121,2732352.538,-0.00122,-0.00046,-0.00069,6,3,0.6
2.139,2732352.557,-0.00061,-0.00046,-8e-05,6,3,0.6
2.156,2732352.576,-0.00061,-0.00107,-8e-05,6,3,0.6
2.177,2732352.595,-0.00061,-0.00046,-8e-05,6,3,0.6
2.197,2732352.614,-0.00061,-0.00046,-8e-05,6,3,0.6
2.215,2732352.633,-0.00061,-0.00046,-8e-05,6,3,0.6
2.235,2732352.652,-0.00061,0.00015,-8e-05,6,3,0.6
2.254,2732352.671,-0.00122,0.00015,-8e-05,6,3,0.6
2.271,2732352.69,0.0,0.00015,-8e-05,6,3,0.6
2.291,2732352.709,-0.00122,0.00015,0.00053,6,3,0.6
2.31,2732352.728,0.0,0.00015,-0.00069,6,3,0.6
2.329,2732352.747,-0.00122,0.00015,-8e-05,6,3,0.6
2.349,2732352.766,0.0,0.00015,-8e-05,6,3,0.6
2.366,2732352.785,0.0,0.00015,-8e-05,6,3,0.6
2.385,2732352.804,0.00061,0.00015,-8e-05,6,3,0.6
2.405,2732352.823,-0.00061,-0.00046,-8e-05,6,3,0.6
2.424,2732352.842,0.0,-0.00046,0.00053,6,3,0.6
2.444,2732352.861,0.0,-0.00107,0.00053,6,3,0.6
2.462,2732352.88,-0.00061,-0.00046,-8e-05,6,3,0.6
2.48,2732352.899,-0.00122,-0.00046,-8e-05,6,3,0.6
2.502,2732352.918,-0.00122,-0.00046,-8e-05,6,3,0.6
2.521,2732352.937,0.0,-0.00046,0.00053,6,3,0.6
2.539,2732352.956,-0.00061,0.00015,-8e-05,6,3,0.6
2.557,2732352.975,-0.00061,-0.00046,-8e-05,6,3,0.6
2.578,2732352.994,-0.00122,0.00015,-8e-05,6,3,0.6
2.597,2732353.013,0.0,0.00015,-8e-05,6,3,0.6
2.616,2732353.032,-0.00061,-0.00046,-8e-05,6,3,0.6
2.635,2732353.051,0.0,-0.00046,-8e-05,6,3,0.6
2.653,2732353.07,-0.00122,-0.00046,-8e-05,6,3,0.6
2.672,2732353.089,-0.00061,-0.00046,-8e-05,6,3,0.6
2.691,2732353.108,-0.00061,-0.00046,-8e-05,6,3,0.6
2.71,2732353.127,-0.00061,0.00015,-0.00069,6,3,0.6
2.73,2732353.146,-0.00061,-0.00046,-8e-05,6,3,0.6
2.749,2732353.165,-0.00061,-0.00046,-8e-05,6,3,0.6
2.771,2732353.184,0.0,-0.00046,-8e-05,6,3,0.6
2.784,2732353.203,0.0,0.00015,-0.00069,6,3,0.6
2.804,2732353.222,0.0,-0.00046,-8e-05,6,3,0.6
2.825,2732353.241,0.0,0.00015,-8e-05,6,3,0.6
2.843,2732353.26,-0.00061,0.00015,-0.00069,6,3,0.6
2.862,2732353.279,0.0,0.00015,-8e-05,6,3,0.6
2.882,2732353.298,0.00061,0.00015,-8e-05,6,3,0.6
2.903,2732353.317,-0.00122,0.00015,-8e-05,6,3,0.6
2.922,2732353.336,0.0,0.00015,-8e-05,6,3,0.6
2.938,2732353.356,-0.00061,0.00015,-8e-05,6,3,0.6
2.955,2732353.375,0.00061,0.00015,-8e-05,6,3,0.6
2.978,2732353.394,-0.00122,0.00015,-8e-05,6,3,0.6
2.998,2732353.413,-0.00061,0.00015,-8e-05,6,3,0.6
3.016,2732353.432,-0.00122,0.00015,-0.00069,6,3,0.6
3.038,2732353.451,0.00046,0.00038,-0.00061,6,3,0.6
3.056,2732353.47,-0.00015,-0.00023,-0.00061,6,3,0.6
3.071,2732353.489,0.00046,-0.00023,-0.0,6,3,0.6
3.09,2732353.508,-0.00015,0.00038,0.00061,6,3,0.6
3.11,2732353.527,-0.00076,-0.00023,-0.0,6,3,0.6
3.128,2732353.546,0.00046,-0.00023,0.0,6,3,0.6
3.147,2732353.565,0.00046,-0.00023,0.0,6,3,0.6
3.164,2732353.584,0.00107,0.00092,-0.00061,6,3,0.6
3.185,2732353.603,-0.00076,0.00031,0.0,6,3,0.6
3.202,2732353.622,0.00107,-0.00031,8e-05,6,3,0.6
3.222,2732353.641,-0.00015,-0.00031,8e-05,6,3,0.6
3.242,2732353.66,0.00038,0.00031,8e-05,6,3,0.6
3.26,2732353.679,-0.00084,0.00031,8e-05,6,3,0.6
3.281,2732353.698,-0.00023,-0.00031,8e-05,6,3,0.6
3.301,2732353.717,-0.00023,-0.00092,8e-05,6,3,0.6
3.322,2732353.736,0.00038,-0.00031,8e-05,6,3,0.6
3.34,2732353.755,-0.00023,-0.00099,8e-05,6,3,0.6
3.355,2732353.774,-0.00023,-0.00038,-0.00053,6,3,0.6
3.381,2732353.793,-0.00023,-0.00099,-0.00053,6,3,0.6
3.397,2732353.812,0.00038,-0.00099,-0.00115,6,3,0.6
3.417,2732353.831,0.00038,-0.00038,-0.00053,6,3,0.6
3.436,2732353.85,-0.00023,-0.00038,0.00069,6,3,0.6
3.454,2732353.869,0.00038,0.00023,8e-05,6,3,0.6
3.47,2732353.888,-0.00023,-0.00038,8e-05,6,3,0.6
3.49,2732353.907,-0.00023,0.00023,-0.00046,6,3,0.6
3.529,2732353.926,-0.00084,-0.00038,-0.00107,6,3,0.6
3.53,2732353.945,0.00038,0.00031,-0.00107,6,3,0.6
3.546,2732353.964,-0.00023,0.00031,0.00015,6,3,0.6
3.566,2732353.983,0.00099,0.00031,0.00015,6,3,0.6
3.583,2732354.002,-0.00084,-0.00031,0.00015,6,3,0.6
3.603,2732354.021,-0.00023,0.00031,-0.00046,6,3,0.6
3.622,2732354.04,-0.00023,-0.00031,-0.00046,6,3,0.6
3.641,2732354.059,0.00099,-0.00023,0.00015,6,3,0.6
3.661,2732354.078,-0.00023,0.00038,0.00015,6,3,0.6
3.682,2732354.097,-0.00084,0.00038,0.00015,6,3,0.6
3.703,2732354.116,-0.00023,-0.00023,-0.00046,6,3,0.6
3.721,2732354.135,-0.00023,-0.00023,0.00015,6,3,0.6
3.737,2732354.154,0.00038,0.00038,0.00076,6,3,0.6
3.755,2732354.173,0.00038,-0.00023,0.00084,6,3,0.6
3.776,2732354.192,0.00038,0.00038,0.00023,6,3,0.6
3.795,2732354.211,-0.00145,0.00046,0.00023,6,3,0.6
3.813,2732354.23,-0.00023,0.00046,0.00084,6,3,0.6
3.834,2732354.25,-0.00084,0.00046,0.00023,6,3,0.6
3.852,2732354.269,0.00099,0.00046,-0.00038,6,3,0.6
3.873,2732354.288,-0.00023,-0.00015,-0.00038,6,3,0.6
3.89,2732354.307,0.00099,0.00046,-0.00038,6,3,0.6
3.91,2732354.326,-0.00084,-0.00015,0.00023,6,3,0.6
3.929,2732354.345,-0.00015,0.00046,0.00023,6,3,0.6
3.946,2732354.364,-0.00015,0.00046,0.00084,6,3,0.6
3.965,2732354.383,0.00046,-0.00015,0.00023,6,3,0.6
3.983,2732354.402,-0.00015,0.00046,-0.00038,6,3,0.6
4.004,2732354.421,-0.00015,-0.00023,0.00023,6,3,0.6
4.023,2732354.44,-0.00015,-0.00023,-0.00038,6,3,0.6
4.042,2732354.459,-0.00015,-0.00023,-0.00038,6,3,0.6
4.06,2732354.478,-0.00015,-0.00023,0.00023,6,3,0.6
4.081,2732354.497,-0.00015,-0.00023,0.00023,6,3,0.6
4.1,2732354.516,0.00107,-0.00023,0.00023,6,3,0.6
4.118,2732354.535,-0.00015,0.00038,0.00023,6,3,0.6
4.137,2732354.554,0.00046,0.00031,0.00023,6,3,0.6
4.154,2732354.573,-0.00015,-0.00031,0.00015,6,3,0.6
4.175,2732354.592,0.00046,0.00031,0.00015,6,3,0.6
4.193,2732354.611,-0.00015,0.00031,-0.00046,6,3,0.6
4.215,2732354.63,0.00107,-0.00031,0.00015,6,3,0.6
4.231,2732354.649,-0.00015,0.00031,0.00076,6,3,0.6
4.255,2732354.668,-0.00015,-0.00031,0.00015,6,3,0.6
4.273,2732354.687,-0.00015,0.00031,-0.00046,6,3,0.6
4.289,2732354.706,-0.00015,-0.00031,-0.00046,6,3,0.6
4.311,2732354.725,-0.00015,-0.00031,0.00015,6,3,0.6
4.33,2732354.744,0.00046,0.00031,0.00015,6,3,0.6
4.346,2732354.763,0.00046,-0.00031,0.00015,6,3,0.6
4.364,2732354.782,-0.00015,-0.00031,-0.00046,6,3,0.6
4.383,2732354.801,0.00046,0.00031,8e-05,6,3,0.6
4.403,2732354.82,-0.00015,-0.00092,8e-05,6,3,0.6
4.423,2732354.839,0.00107,0.00031,8e-05,6,3,0.6
4.442,2732354.858,-0.00076,-0.00031,-0.00053,6,3,0.6
4.459,2732354.877,0.00046,-0.00031,-0.00053,6,3,0.6
4.482,2732354.896,-0.00015,0.00031,8e-05,6,3,0.6
4.501,2732354.915,0.00038,-0.00031,8e-05,6,3,0.6
4.52,2732354.934,0.00038,-0.00031,8e-05,6,3,0.6
4.541,2732354.953,0.00099,-0.00031,8e-05,6,3,0.6
4.556,2732354.972,0.00038,-0.00031,-0.00046,6,3,0.6
4.574,2732354.991,0.00099,0.00031,-0.00046,6,3,0.6
4.593,2732355.01,-0.00023,0.00031,0.00015,6,3,0.6
4.611,2732355.029,-0.00023,0.00031,-0.00046,6,3,0.6
4.632,2732355.048,-0.00023,-0.00031,0.00015,6,3,0.6
4.649,2732355.067,-0.00023,0.00038,0.00015,6,3,0.6
4.669,2732355.086,0.00099,0.00038,0.00015,6,3,0.6
4.689,2732355.105,-0.00031,0.00038,0.00015,6,3,0.6
4.708,2732355.124,0.00092,0.00099,0.00015,6,3,0.6
4.728,2732355.144,-0.00031,-0.00023,0.00076,6,3,0.6
4.747,2732355.163,0.00031,0.00038,0.00015,6,3,0.6
4.763,2732355.182,-0.00031,-0.00023,0.00015,6,3,0.6
4.782,2732355.201,0.00031,-0.00023,0.00015,6,3,0.6
4.806,2732355.22,-0.00092,-0.00023,0.00015,6,3,0.6
4.824,2732355.239,0.00031,-0.00023,0.00015,6,3,0.6
4.842,2732355.258,-0.00031,-0.00023,-0.00046,6,3,0.6
4.86,2732355.277,0.00023,-0.00023,-0.00046,6,3,0.6
4.879,2732355.296,0.00023,-0.00023,-0.00046,6,3,0.6
4.899,2732355.315,0.00023,0.00038,0.00015,6,3,0.6
4.921,2732355.334,0.00023,-0.00023,0.00076,6,3,0.6
4.94,2732355.353,0.00023,-0.00023,0.00015,6,3,0.6
4.955,2732355.372,0.00023,-0.00023,0.00076,6,3,0.6
4.974,2732355.391,-0.00038,-0.00023,0.00015,6,3,0.6
4.994,2732355.41,0.00023,-0.00023,0.00015,6,3,0.6
5.014,2732355.429,-0.00038,0.00038,-0.00046,6,3,0.6
5.031,2732355.448,0.00023,0.00038,-0.00046,6,3,0.6
5.05,2732355.467,-0.00099,-0.00023,-0.00046,6,3,0.6
5.069,2732355.486,0.00023,-0.00023,0.00076,6,3,0.6
5.087,2732355.505,-0.00038,0.00038,0.00076,6,3,0.6
