AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
0.07,2724731.473,33.6375,-177.69376,-415.98752,1,0,5.4
0.071,2724731.493,33.69375,-177.9375,-416.06253,1,0,5.4
0.075,2724731.513,33.525,-177.84375,-416.19376,1,0,5.4
0.076,2724731.533,33.76875,-177.73126,-415.98752,1,0,5.4
0.077,2724731.553,33.84375,-177.71251,-415.87503,1,0,5.4
0.111,2724731.573,34.0125,-177.65625,-415.81876,1,0,5.4
0.126,2724731.593,33.975,-177.75,-415.81876,1,0,5.4
0.135,2724731.613,34.06875,-177.61876,-416.11877,1,0,5.4
0.155,2724731.633,34.2375,-178.03125,-416.47501,1,0,5.4
0.175,2724731.653,34.3125,-177.84375,-416.36252,1,0,5.4
0.197,2724731.673,34.3875,-178.03125,-416.26877,1,0,5.4
0.215,2724731.693,34.05,-178.01251,-416.34378,1,0,5.4
0.236,2724731.713,34.03125,-178.03125,-416.49377,1,0,5.4
0.257,2724731.733,33.88125,-178.06876,-416.60626,1,0,5.4
0.276,2724731.753,33.88125,-178.06876,-416.41876,1,0,5.4
0.297,2724731.773,33.76875,-177.99376,-416.49377,1,0,5.4
0.317,2724731.793,33.6,-177.71251,-416.53128,1,0,5.4
0.337,2724731.813,33.58125,-177.73126,-416.49377,1,0,5.4
0.357,2724731.833,33.76875,-177.50626,-416.49377,1,0,5.4
0.375,2724731.853,33.99375,-177.63751,-416.66251,1,0,5.4
0.396,2724731.873,34.03125,-177.46875,-416.79376,1,0,5.4
0.415,2724731.893,34.06875,-177.1125,-416.79376,1,0,5.4
0.437,2724731.913,34.1625,-177.1125,-416.66251,1,0,5.4
0.456,2724731.933,34.35,-177.03751,-416.47501,1,0,5.4
0.476,2724731.953,34.51875,-176.96251,-416.34378,1,0,5.4
0.496,2724731.973,34.425,-176.96251,-416.56876,1,0,5.4
0.515,2724731.993,34.35,-176.88751,-416.47501,1,0,5.4
0.536,2724732.013,34.425,-176.68126,-416.49377,1,0,5.4
0.556,2724732.033,34.44375,-176.7375,-416.25003,1,0,5.4
0.576,2724732.053,34.5,-176.90625,-416.28751,1,0,5.4
0.597,2724732.073,34.51875,-176.75626,-416.53128,1,0,5.4
0.615,2724732.093,34.51875,-176.83125,-416.58752,1,0,5.4
0.636,2724732.113,34.575,-177.0,-416.71878,1,0,5.4
0.656,2724732.133,34.48125,-176.96251,-416.58752,1,0,5.4
0.677,2724732.153,34.40625,-177.05626,-416.53128,1,0,5.4
0.697,2724732.173,34.2375,-177.16876,-416.15628,1,0,5.4
0.716,2724732.193,34.03125,-177.1125,-416.32501,1,0,5.4
0.735,2724732.213,34.03125,-176.88751,-416.06253,1,0,5.4
0.755,2724732.233,33.9375,-177.01875,-415.93127,1,0,5.4
0.775,2724732.253,34.14375,-176.98126,-416.10001,1,0,5.4
0.795,2724732.273,34.0875,-176.94376,-415.78128,1,0,5.4
0.815,2724732.293,34.0875,-177.07501,-415.91251,1,0,5.4
0.837,2724732.313,33.9375,-177.16876,-415.91251,1,0,5.4
0.86,2724732.333,34.0875,-177.16876,-416.23126,1,0,5.4
0.877,2724732.353,34.125,-177.41251,-416.06253,1,0,5.4
0.899,2724732.373,34.05,-177.65625,-416.08127,1,0,5.4
0.916,2724732.393,33.9,-177.58125,-416.10001,1,0,5.4
0.94,2724732.413,33.69375,-177.61876,-415.96878,1,0,5.4
0.96,2724732.433,33.61875,-177.39375,-416.38126,1,0,5.4
0.981,2724732.453,33.76875,-177.22501,-416.23126,1,0,5.4
0.996,2724732.473,33.73125,-177.03751,-416.32501,1,0,5.4
1.017,2724732.493,33.69375,-176.98126,-416.34378,1,0,5.4
1.036,2724732.513,33.975,-176.7375,-416.58752,1,0,5.4
1.068,2724732.533,34.125,-176.68126,-416.75626,1,0,5.4
1.08,2724732.553,34.2375,-176.70001,-416.83127,1,0,5.4
1.097,2724732.573,34.2,-176.86876,-416.94376,1,0,5.4
1.115,2724732.593,34.40625,-176.86876,-416.85001,1,0,5.4
1.136,2724732.613,34.51875,-177.03751,-417.05627,1,0,5.4
1.157,2724732.633,34.85625,-177.24376,-417.07501,1,0,5.4
1.175,2724732.653,34.725,-177.375,-417.07501,1,0,5.4
1.197,2724732.673,34.5,-177.31876,-417.00003,1,0,5.4
1.215,2724732.693,34.48125,-177.24376,-416.98126,1,0,5.4
1.237,2724732.713,34.33125,-177.13126,-416.90628,1,0,5.4
1.26,2724732.733,34.3875,-176.98126,-416.68127,1,0,5.4
1.276,2724732.753,34.0125,-177.09375,-416.70001,1,0,5.4
1.297,2724732.773,33.88125,-176.8125,-416.38126,1,0,5.4
1.317,2724732.793,33.76875,-176.56876,-416.36252,1,0,5.4
1.337,2724732.813,34.0875,-176.25,-416.32501,1,0,5.4
1.357,2724732.833,34.21875,-176.38126,-416.26877,1,0,5.4
1.376,2724732.853,34.05,-176.4375,-416.34378,1,0,5.4
1.397,2724732.873,34.125,-176.4375,-416.30627,1,0,5.4
1.417,2724732.893,34.10625,-176.41876,-416.55002,1,0,5.4
1.436,2724732.913,34.4625,-176.55,-416.32501,1,0,5.4
1.462,2724732.933,34.425,-176.51251,-416.41876,1,0,5.4
1.478,2724732.953,34.5375,-176.70001,-416.21252,1,0,5.4
1.5,2724732.973,34.40625,-176.83125,-416.21252,1,0,5.4
1.518,2724732.993,34.18125,-176.75626,-416.08127,1,0,5.4
1.536,2724733.013,34.2375,-176.71875,-416.02502,1,0,5.4
1.556,2724733.033,34.05,-176.79376,-415.95001,1,0,5.4
1.577,2724733.053,33.99375,-176.85001,-415.95001,1,0,5.4
1.597,2724733.073,33.825,-176.88751,-416.00626,1,0,5.4
1.616,2724733.093,33.95625,-177.20625,-416.04376,1,0,5.4
1.638,2724733.113,33.99375,-177.20625,-416.23126,1,0,5.4
1.657,2724733.133,33.99375,-177.26251,-416.26877,1,0,5.4
1.677,2724733.153,34.21875,-177.33751,-416.17502,1,0,5.4
1.7,2724733.173,34.29375,-177.41251,-416.15628,1,0,5.4
1.715,2724733.193,34.35,-177.46875,-416.32501,1,0,5.4
1.737,2724733.213,34.35,-177.375,-416.15628,1,0,5.4
1.757,2724733.233,34.18125,-177.1875,-416.04376,1,0,5.4
1.781,2724733.253,34.10625,-177.01875,-415.98752,1,0,5.4
1.797,2724733.273,33.975,-177.01875,-415.93127,1,0,5.4
1.816,2724733.293,33.975,-176.88751,-416.06253,1,0,5.4
1.844,2724733.313,33.84375,-176.85001,-416.21252,1,0,5.4
1.858,2724733.333,33.95625,-177.0,-416.26877,1,0,5.4
1.877,2724733.353,33.975,-176.94376,-416.38126,1,0,5.4
1.9,2724733.373,34.125,-176.96251,-416.40002,1,0,5.4
1.917,2724733.393,34.21875,-176.96251,-416.30627,1,0,5.4
1.937,2724733.413,34.35,-176.88751,-416.64377,1,0,5.4
1.957,2724733.433,34.25625,-176.94376,-416.70001,1,0,5.4
1.979,2724733.453,34.33125,-177.3,-416.43753,1,0,5.4
1.996,2724733.473,34.3125,-177.15001,-416.32501,1,0,5.4
2.017,2724733.493,34.18125,-177.15001,-416.19376,1,0,5.4
2.04,2724733.513,34.36875,-177.24376,-416.00626,1,0,5.4
2.084,2724733.533,34.33125,-177.375,-416.00626,1,0,5.4
2.085,2724733.553,34.55625,-177.31876,-416.19376,1,0,5.4
2.099,2724733.573,34.51875,-177.52501,-415.98752,1,0,5.4
2.116,2724733.593,34.44375,-177.5625,-416.06253,1,0,5.4
2.136,2724733.613,34.36875,-177.20625,-416.06253,1,0,5.4
2.157,2724733.633,34.40625,-177.24376,-416.00626,1,0,5.4
2.177,2724733.653,34.2375,-177.1875,-416.02502,1,0,5.4
2.197,2724733.673,34.21875,-177.07501,-415.91251,1,0,5.4
2.216,2724733.693,34.0875,-176.90625,-415.95001,1,0,5.4
2.239,2724733.713,33.80625,-177.01875,-415.91251,1,0,5.4
2.258,2724733.733,33.80625,-176.98126,-415.72501,1,0,5.4
2.276,2724733.753,33.73125,-176.86876,-415.63126,1,0,5.4
2.296,2724733.773,33.675,-177.03751,-415.85626,1,0,5.4
2.316,2724733.793,33.5625,-176.88751,-416.06253,1,0,5.4
2.336,2724733.813,33.525,-176.83125,-416.11877,1,0,5.4
2.355,2724733.833,33.54375,-176.98126,-416.36252,1,0,5.4
2.376,2724733.853,33.39375,-177.03751,-416.15628,1,0,5.4
2.396,2724733.873,33.50625,-177.01875,-416.19376,1,0,5.4
