AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
0.077,2730088.695,-0.04277,0.0006,9.05833,4,3,6
0.077,2730088.714,-0.05234,-0.0329,9.34337,4,3,6
0.078,2730088.733,-0.04995,-0.08076,9.91795,4,3,6
0.083,2730088.752,-0.05234,-0.13101,10.50449,4,3,6
0.083,2730088.771,-0.03559,-0.14776,10.67917,4,3,6
0.096,2730088.79,-0.02363,-0.10947,10.26042,4,3,6
0.116,2730088.809,-0.00449,-0.04247,9.58744,4,3,6
0.134,2730088.828,0.01466,0.01017,9.15673,4,3,6
0.149,2730088.847,-0.06431,-0.00658,9.16631,4,3,6
0.169,2730088.866,-0.14566,-0.05444,9.65444,4,3,6
0.188,2730088.885,-0.09063,-0.0999,10.21705,4,3,6
0.207,2730088.904,0.01944,-0.14776,10.40878,4,3,6
0.227,2730088.923,0.02183,-0.15494,10.40639,4,3,6
0.247,2730088.942,-0.04038,-0.14297,10.15484,4,3,6
0.264,2730088.961,-0.08345,-0.07358,9.78635,4,3,6
0.282,2730088.98,-0.08106,-0.02572,9.47259,4,3,6
0.302,2730089.0,-0.03799,-0.02094,9.42712,4,3,6
0.322,2730089.019,-0.0332,-0.06401,9.63291,4,3,6
0.34,2730089.038,-0.03081,-0.10229,9.96102,4,3,6
0.36,2730089.057,-0.03559,-0.12383,10.1668,4,3,6
0.379,2730089.076,-0.05713,-0.12144,10.22423,4,3,6
0.398,2730089.095,-0.07627,-0.10947,10.09263,4,3,6
0.416,2730089.114,-0.05474,-0.0999,9.87727,4,3,6
0.435,2730089.133,-0.02124,-0.06879,9.67358,4,3,6
0.454,2730089.152,0.0003,-0.06162,9.60658,4,3,6
0.474,2730089.171,-0.04516,-0.06401,9.69303,4,3,6
0.493,2730089.19,-0.08106,-0.07836,9.88445,4,3,6
0.511,2730089.209,-0.07149,-0.10469,10.03998,4,3,6
0.532,2730089.228,-0.01406,-0.10469,10.11416,4,3,6
0.549,2730089.247,-0.01406,-0.11665,10.03281,4,3,6
0.568,2730089.266,-0.05234,-0.08554,9.88924,4,3,6
0.587,2730089.285,-0.06909,-0.08554,9.75045,4,3,6
0.606,2730089.304,-0.0667,-0.05683,9.68824,4,3,6
0.626,2730089.323,-0.0332,-0.0664,9.7696,4,3,6
0.644,2730089.342,-0.02602,-0.09033,9.89163,4,3,6
0.663,2730089.361,-0.03799,-0.12622,9.99213,4,3,6
0.685,2730089.38,-0.06191,-0.10469,10.02802,4,3,6
0.701,2730089.399,-0.06191,-0.09751,9.96102,4,3,6
0.72,2730089.418,-0.05234,-0.08794,9.87009,4,3,6
0.74,2730089.437,-0.03559,-0.09033,9.79592,4,3,6
0.759,2730089.456,-0.04038,-0.08794,9.77199,4,3,6
0.778,2730089.475,-0.04756,-0.08315,9.81745,4,3,6
0.797,2730089.494,-0.04756,-0.10708,9.89881,4,3,6
0.815,2730089.513,-0.04756,-0.10229,9.95624,4,3,6
0.835,2730089.532,-0.05234,-0.09272,9.9682,4,3,6
0.854,2730089.551,-0.02602,-0.0999,9.91795,4,3,6
0.874,2730089.57,-0.03081,-0.09033,9.86052,4,3,6
0.892,2730089.589,-0.07149,-0.00419,8.87408,4,3,6
0.911,2730089.608,-0.02841,-0.12622,11.32074,4,3,6
0.929,2730089.627,-0.02124,-0.11426,9.25963,4,3,6
0.948,2730089.646,-0.08106,-0.12861,9.95863,4,3,6
0.969,2730089.665,-0.00927,-0.09033,9.86292,4,3,6
0.987,2730089.684,-0.05952,-0.04008,10.01845,4,3,6
1.006,2730089.703,-0.04995,-0.04487,9.74327,4,3,6
1.026,2730089.722,-0.04756,-0.11904,10.08545,4,3,6
1.044,2730089.741,-0.03799,-0.11904,9.70738,4,3,6
