AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
0.047,2735683.175,0.08972,-0.00214,0.00031,9,4.8,6
0.048,2735683.194,-0.01229,0.01008,0.00214,9,4.8,6
0.049,2735683.213,-0.13263,0.00092,0.00458,9,4.8,6
0.05,2735683.232,-0.12408,0.00397,0.00458,9,4.8,6
0.069,2735683.251,-0.01718,0.00275,0.00092,9,4.8,6
0.089,2735683.27,0.07567,-0.00214,-0.00153,9,4.8,6
0.107,2735683.289,0.09583,-0.00031,-0.00092,9,4.8,6
0.123,2735683.308,0.03352,-0.00397,-0.00031,9,4.8,6
0.143,2735683.327,0.00481,-0.01069,0.00153,9,4.8,6
0.162,2735683.346,-0.00618,0.01008,0.00214,9,4.8,6
0.186,2735683.365,-0.03856,-0.00275,0.00214,9,4.8,6
0.201,2735683.384,-0.06238,0.01252,0.00031,9,4.8,6
0.221,2735683.403,-0.07399,0.00275,0.00092,9,4.8,6
0.238,2735683.422,-0.05811,0.01191,0.00153,9,4.8,6
0.258,2735683.441,-0.05383,0.0058,0.00336,9,4.8,6
0.277,2735683.46,-0.06116,0.00947,0.00397,9,4.8,6
0.296,2735683.479,-0.07888,0.00947,0.00336,9,4.8,6
0.316,2735683.498,-0.09537,0.00886,0.00275,9,4.8,6
0.333,2735683.517,-0.08376,0.01069,0.00214,9,4.8,6
0.356,2735683.536,-0.06605,0.01008,0.00153,9,4.8,6
0.373,2735683.555,-0.0575,0.00886,0.00153,9,4.8,6
0.392,2735683.574,-0.0636,0.00764,0.00153,9,4.8,6
0.41,2735683.593,-0.06788,0.00825,0.00275,9,4.8,6
0.43,2735683.612,-0.06971,0.00764,0.00275,9,4.8,6
0.449,2735683.631,-0.0691,0.01069,0.00275,9,4.8,6
0.467,2735683.65,-0.07704,0.0113,0.00275,9,4.8,6
0.488,2735683.669,-0.0917,0.01069,0.00275,9,4.8,6
0.506,2735683.688,-0.09415,0.0113,0.00092,9,4.8,6
0.525,2735683.707,-0.09109,0.01313,0.00031,9,4.8,6
0.544,2735683.726,-0.08498,0.01008,0.00092,9,4.8,6
0.563,2735683.745,-0.07216,0.00947,0.00153,9,4.8,6
0.582,2735683.764,-0.05078,0.00702,-0.00092,9,4.8,6
0.601,2735683.783,-0.03062,0.00397,-0.00031,9,4.8,6
0.619,2735683.802,-0.01168,0.00275,-0.00031,9,4.8,6
0.638,2735683.822,-0.00313,0.00092,-0.00031,9,4.8,6
0.656,2735683.841,0.00176,0.00092,0.00031,9,4.8,6
0.676,2735683.86,-0.0013,-0.00031,-0.00031,9,4.8,6
0.695,2735683.879,-0.00435,0.00092,0.00031,9,4.8,6
0.716,2735683.898,-0.00802,0.00092,0.00031,9,4.8,6
0.735,2735683.917,-0.00924,0.00153,0.00031,9,4.8,6
0.753,2735683.936,-0.00863,0.00153,-0.00031,9,4.8,6
0.772,2735683.955,-0.00496,0.00092,-0.00031,9,4.8,6
0.792,2735683.974,-0.0013,0.00031,0.00031,9,4.8,6
0.811,2735683.993,0.00053,0.00031,0.00031,9,4.8,6
0.83,2735684.012,0.00053,0.00092,0.00031,9,4.8,6
0.848,2735684.031,0.00053,0.00092,-0.00031,9,4.8,6
0.868,2735684.05,0.00359,0.00031,0.00031,9,4.8,6
0.887,2735684.069,0.00298,-0.00031,0.00031,9,4.8,6
0.907,2735684.088,-0.00313,-0.00031,0.00031,9,4.8,6
0.924,2735684.107,-0.01229,0.00092,0.00031,9,4.8,6
0.947,2735684.126,-0.01351,0.00153,0.00031,9,4.8,6
0.962,2735684.145,-0.01046,0.00092,0.00092,9,4.8,6
0.985,2735684.164,-0.00191,0.00092,0.00031,9,4.8,6
1.005,2735684.183,0.0042,-0.00031,0.00031,9,4.8,6
1.019,2735684.202,0.00664,-0.00031,-0.00031,9,4.8,6
1.039,2735684.221,0.00298,0.00031,0.00031,9,4.8,6
1.056,2735684.24,-0.0013,0.00153,0.00031,9,4.8,6
1.075,2735684.259,-0.0068,0.00092,0.00031,9,4.8,6
1.095,2735684.278,-0.00802,0.00092,-0.00092,9,4.8,6
1.115,2735684.297,-0.00496,0.00031,-0.00031,9,4.8,6
1.135,2735684.316,-0.0013,0.00031,0.00031,9,4.8,6
1.153,2735684.335,0.00237,-0.00031,0.00092,9,4.8,6
1.174,2735684.354,0.00298,0.00031,0.00031,9,4.8,6
1.189,2735684.373,0.00176,0.00031,-0.00031,9,4.8,6
1.212,2735684.392,-0.00252,0.00031,-0.00031,9,4.8,6
1.228,2735684.411,-0.00435,0.00031,0.00031,9,4.8,6
1.248,2735684.43,-0.00557,0.00092,0.00031,9,4.8,6
1.267,2735684.449,-0.00252,0.00031,-0.00031,9,4.8,6
1.287,2735684.468,-0.00069,-0.00031,-0.00031,9,4.8,6
1.305,2735684.487,0.00237,0.00031,0.00031,9,4.8,6
1.327,2735684.506,0.00176,0.00031,0.00031,9,4.8,6
1.342,2735684.525,0.00053,0.00031,0.00031,9,4.8,6
1.364,2735684.544,-0.00252,0.00031,0.00031,9,4.8,6
1.382,2735684.563,-0.00313,0.00031,0.00031,9,4.8,6
