AppTimestamp(s),SensorTimestamp(s),Mag_X,Mag_Y,Mag_Z,Label,Latitude,Longitude
0.077,2730088.713,51.50625,-169.65001,-421.05002,4,3,6
0.078,2730088.733,51.3375,-169.72501,-421.10626,4,3,6
0.078,2730088.753,51.375,-169.76251,-421.03128,4,3,6
0.083,2730088.773,51.50625,-169.76251,-420.84378,4,3,6
0.086,2730088.793,51.35625,-169.85626,-420.82501,4,3,6
0.116,2730088.813,51.1875,-169.83751,-420.93753,4,3,6
0.134,2730088.833,50.94375,-169.89375,-421.14377,4,3,6
0.145,2730088.853,51.16875,-170.11876,-421.01251,4,3,6
0.165,2730088.873,51.075,-169.85626,-421.01251,4,3,6
0.185,2730088.893,51.09375,-169.89375,-421.20001,4,3,6
0.205,2730088.913,51.09375,-169.95001,-421.27502,4,3,6
0.226,2730088.933,51.20625,-170.11876,-421.38751,4,3,6
0.248,2730088.953,51.225,-170.10001,-421.40628,4,3,6
0.268,2730088.973,51.39375,-169.95001,-421.36877,4,3,6
0.285,2730088.993,51.4125,-169.8,-421.06876,4,3,6
0.305,2730089.013,51.28125,-169.48126,-421.16251,4,3,6
0.325,2730089.033,51.54375,-169.51875,-421.29376,4,3,6
0.345,2730089.053,51.5625,-169.53751,-421.18127,4,3,6
0.365,2730089.073,51.45,-169.425,-421.21878,4,3,6
0.385,2730089.093,51.46875,-169.38751,-421.36877,4,3,6
0.405,2730089.113,51.39375,-169.46251,-421.48126,4,3,6
0.426,2730089.133,51.5625,-169.27501,-421.31253,4,3,6
0.446,2730089.153,51.5625,-169.18126,-421.57501,4,3,6
0.466,2730089.173,51.6,-169.3125,-421.35001,4,3,6
0.485,2730089.193,51.31875,-169.2375,-421.31253,4,3,6
0.508,2730089.213,51.15,-169.40625,-421.10626,4,3,6
0.526,2730089.233,51.1125,-169.44376,-421.10626,4,3,6
0.545,2730089.253,51.075,-169.5,-420.80627,4,3,6
0.565,2730089.273,51.24375,-169.51875,-420.75003,4,3,6
0.585,2730089.293,50.9625,-169.81876,-420.80627,4,3,6
0.606,2730089.313,51.13125,-169.9875,-420.65628,4,3,6
0.626,2730089.333,50.85,-170.0625,-420.76877,4,3,6
0.645,2730089.354,51.0,-170.32501,-420.67502,4,3,6
0.667,2730089.373,51.05625,-170.26875,-420.82501,4,3,6
0.685,2730089.393,51.35625,-170.3625,-420.73126,4,3,6
0.705,2730089.413,51.375,-170.25,-420.91876,4,3,6
0.725,2730089.433,51.15,-170.25,-420.78751,4,3,6
0.745,2730089.453,51.20625,-170.00626,-420.76877,4,3,6
0.764,2730089.473,51.01875,-170.04376,-420.90002,4,3,6
0.784,2730089.493,50.9625,-170.04376,-421.03128,4,3,6
0.805,2730089.513,50.98125,-169.93126,-421.08752,4,3,6
0.825,2730089.533,51.05625,-170.11876,-421.20001,4,3,6
0.846,2730089.553,51.0,-169.95001,-421.21878,4,3,6
0.865,2730089.573,50.85,-170.00626,-421.12503,4,3,6
0.885,2730089.593,50.90625,-170.08125,-421.31253,4,3,6
0.906,2730089.613,51.05625,-170.26875,-421.33127,4,3,6
0.925,2730089.633,51.31875,-170.30626,-421.23752,4,3,6
0.945,2730089.653,51.4875,-170.10001,-421.08752,4,3,6
0.966,2730089.673,51.45,-170.04376,-421.08752,4,3,6
0.984,2730089.693,51.28125,-170.11876,-420.93753,4,3,6
1.007,2730089.713,51.075,-170.23126,-421.14377,4,3,6
1.025,2730089.733,51.3375,-170.15625,-421.05002,4,3,6
1.045,2730089.753,51.4125,-170.04376,-420.90002,4,3,6
1.064,2730089.773,51.31875,-170.34375,-420.75003,4,3,6
1.085,2730089.793,51.24375,-170.26875,-420.75003,4,3,6
1.105,2730089.813,51.3,-170.4375,-420.80627,4,3,6
1.126,2730089.833,51.35625,-170.45625,-420.91876,4,3,6
1.145,2730089.853,51.46875,-170.02501,-420.93753,4,3,6
1.165,2730089.873,51.7875,-169.95001,-420.71252,4,3,6
1.185,2730089.893,51.6375,-170.19376,-420.95627,4,3,6
1.206,2730089.913,51.6,-170.32501,-420.78751,4,3,6
1.226,2730089.933,51.6375,-169.91251,-421.05002,4,3,6
1.246,2730089.953,51.46875,-169.875,-420.90002,4,3,6
1.267,2730089.973,51.46875,-169.875,-420.93753,4,3,6
1.285,2730089.993,51.4875,-169.85626,-420.78751,4,3,6
1.306,2730090.013,51.675,-170.04376,-420.95627,4,3,6
1.326,2730090.033,51.2625,-170.175,-421.08752,4,3,6
1.345,2730090.053,51.43125,-169.81876,-420.95627,4,3,6
1.366,2730090.073,51.46875,-169.81876,-421.35001,4,3,6
1.385,2730090.093,51.375,-169.6875,-421.14377,4,3,6
1.409,2730090.113,51.525,-169.78125,-421.40628,4,3,6
1.426,2730090.133,51.525,-169.6875,-421.36877,4,3,6
1.446,2730090.153,51.39375,-169.65001,-421.44376,4,3,6
1.465,2730090.173,51.31875,-169.44376,-421.42502,4,3,6
1.484,2730090.193,51.65625,-169.425,-421.18127,4,3,6
1.506,2730090.213,51.50625,-169.66876,-421.23752,4,3,6
1.526,2730090.233,51.4875,-169.55626,-420.86252,4,3,6
1.546,2730090.253,51.61875,-169.6125,-420.86252,4,3,6
1.565,2730090.273,51.46875,-169.51875,-420.91876,4,3,6
1.585,2730090.293,51.46875,-169.55626,-420.78751,4,3,6
1.605,2730090.313,51.69375,-169.59375,-420.61877,4,3,6
1.626,2730090.333,51.54375,-169.76251,-420.69376,4,3,6
1.645,2730090.353,51.35625,-169.78125,-420.76877,4,3,6
1.667,2730090.373,51.45,-169.59375,-420.69376,4,3,6
1.685,2730090.393,51.45,-169.53751,-420.90002,4,3,6
1.708,2730090.413,51.3,-169.72501,-420.99377,4,3,6
1.728,2730090.433,51.46875,-169.57501,-420.82501,4,3,6
1.748,2730090.453,51.58125,-169.59375,-420.97501,4,3,6
1.767,2730090.473,51.35625,-169.59375,-420.97501,4,3,6
1.786,2730090.493,51.31875,-169.63126,-420.82501,4,3,6
1.806,2730090.513,51.24375,-169.33125,-421.01251,4,3,6
1.828,2730090.533,51.20625,-169.27501,-421.10626,4,3,6
1.845,2730090.553,51.0,-169.48126,-421.27502,4,3,6
1.866,2730090.573,51.15,-169.29376,-421.25626,4,3,6
1.885,2730090.593,51.225,-169.51875,-421.25626,4,3,6
1.906,2730090.613,51.28125,-169.38751,-421.31253,4,3,6
1.925,2730090.633,51.24375,-169.44376,-421.35001,4,3,6
1.945,2730090.653,51.31875,-169.40625,-421.40628,4,3,6
1.964,2730090.673,51.4875,-169.59375,-421.46252,4,3,6
1.985,2730090.693,51.4125,-169.81876,-421.25626,4,3,6
2.008,2730090.713,51.675,-169.78125,-420.99377,4,3,6
2.026,2730090.733,51.73125,-169.95001,-421.08752,4,3,6
2.048,2730090.753,51.6,-169.91251,-421.14377,4,3,6
2.065,2730090.773,51.2625,-170.25,-421.20001,4,3,6
2.091,2730090.793,51.46875,-170.26875,-421.44376,4,3,6
2.105,2730090.813,51.5625,-170.40001,-421.48126,4,3,6
2.125,2730090.833,51.35625,-170.26875,-421.25626,4,3,6
2.145,2730090.853,51.375,-170.15625,-421.53751,4,3,6
2.165,2730090.873,51.225,-170.04376,-421.55627,4,3,6
2.186,2730090.893,51.05625,-169.76251,-421.53751,4,3,6
2.207,2730090.913,51.2625,-169.55626,-421.51877,4,3,6
2.225,2730090.933,51.1875,-169.35001,-421.46252,4,3,6
2.245,2730090.953,51.1125,-169.46251,-421.44376,4,3,6
2.264,2730090.973,51.05625,-169.29376,-421.38751,4,3,6
2.285,2730090.993,51.16875,-169.44376,-421.53751,4,3,6
2.305,2730091.013,51.13125,-169.35001,-421.36877,4,3,6
2.326,2730091.033,51.3,-169.35001,-421.23752,4,3,6
2.345,2730091.053,51.4875,-169.425,-421.23752,4,3,6
2.365,2730091.073,51.15,-169.66876,-421.12503,4,3,6
2.385,2730091.093,51.6375,-169.59375,-421.03128,4,3,6
2.405,2730091.113,51.46875,-169.36876,-421.03128,4,3,6
2.425,2730091.133,51.375,-169.425,-421.06876,4,3,6
2.445,2730091.153,51.3,-169.44376,-420.91876,4,3,6
2.465,2730091.173,51.3375,-169.6125,-420.95627,4,3,6
2.485,2730091.193,51.3,-169.6125,-421.08752,4,3,6
2.505,2730091.213,51.31875,-169.81876,-421.10626,4,3,6
2.525,2730091.233,51.525,-169.57501,-421.08752,4,3,6
2.546,2730091.253,51.375,-169.6875,-420.88126,4,3,6
2.566,2730091.273,51.5625,-169.74376,-420.63751,4,3,6
2.586,2730091.293,51.69375,-169.6125,-420.63751,4,3,6
2.63,2730091.313,51.7125,-169.63126,-420.52502,4,3,6
2.63,2730091.333,51.61875,-169.59375,-420.75003,4,3,6
2.645,2730091.353,51.4875,-169.63126,-420.61877,4,3,6
