AppTimestamp(s),SensorTimeStamp(s),Name_SSID,MAC_BSSID,RSS,Label,Latitude,Longitude
1.77,267684.755,eduroam,dc:9f:db:1c:63:ed,-84.0,15.0,9.6,0.6
1.77,267685.138,UJI,de:9f:db:1b:63:ed,-77.0,15.0,9.6,0.6
1.77,267684.758,eduroam,04:18:d6:82:26:e8,-64.0,15.0,9.6,0.6
1.77,267685.208,UJI,de:9f:db:1b:91:6a,-83.0,15.0,9.6,0.6
1.77,267684.759,UJI,06:18:d6:82:26:e8,-65.0,15.0,9.6,0.6
1.77,267684.703,UJI,de:9f:db:1c:63:ed,-78.0,15.0,9.6,0.6
1.77,267683.47,UJI,de:9f:db:1c:91:6a,-89.0,15.0,9.6,0.6
1.77,267688.265,eduroam,04:18:d6:81:26:e8,-59.0,15.0,9.6,0.6
1.77,267685.207,eduroam,dc:9f:db:1b:91:6a,-81.0,15.0,9.6,0.6
3.769,267684.755,eduroam,dc:9f:db:1c:63:ed,-84.0,15.0,9.6,0.6
3.769,267685.138,UJI,de:9f:db:1b:63:ed,-77.0,15.0,9.6,0.6
3.769,267684.758,eduroam,04:18:d6:82:26:e8,-64.0,15.0,9.6,0.6
3.769,267685.208,UJI,de:9f:db:1b:91:6a,-83.0,15.0,9.6,0.6
3.769,267684.759,UJI,06:18:d6:82:26:e8,-65.0,15.0,9.6,0.6
3.769,267684.703,UJI,de:9f:db:1c:63:ed,-78.0,15.0,9.6,0.6
3.769,267683.47,UJI,de:9f:db:1c:91:6a,-89.0,15.0,9.6,0.6
3.769,267688.265,eduroam,04:18:d6:81:26:e8,-59.0,15.0,9.6,0.6
3.769,267685.207,eduroam,dc:9f:db:1b:91:6a,-81.0,15.0,9.6,0.6
5.765,267684.755,eduroam,dc:9f:db:1c:63:ed,-84.0,15.0,9.6,0.6
5.765,267685.138,UJI,de:9f:db:1b:63:ed,-77.0,15.0,9.6,0.6
5.765,267684.758,eduroam,04:18:d6:82:26:e8,-64.0,15.0,9.6,0.6
5.765,267685.208,UJI,de:9f:db:1b:91:6a,-83.0,15.0,9.6,0.6
5.765,267684.759,UJI,06:18:d6:82:26:e8,-65.0,15.0,9.6,0.6
5.765,267684.703,UJI,de:9f:db:1c:63:ed,-78.0,15.0,9.6,0.6
5.765,267683.47,UJI,de:9f:db:1c:91:6a,-89.0,15.0,9.6,0.6
5.765,267688.265,eduroam,04:18:d6:81:26:e8,-59.0,15.0,9.6,0.6
